region,movie_count,avg_rating
Slovenia | Denmark | Croa,1,7.0
不丹,2,7.450000047683716
中国台湾,154,6.7876623466417385
中国大陆,1417,5.8672547623062945
中国澳门,1,3.700000047683716
中国香港,364,6.002747251437261
丹麦,58,7.1637930952269455
乌克兰,10,6.590000057220459
乌兹别克斯坦,1,6.5
乌拉圭,5,6.779999923706055
亚美尼亚,2,6.8500001430511475
以色列,20,6.990000009536743
伊拉克,1,8.0
伊朗,13,7.3615384835463304
俄罗斯,98,6.818367347425344
俄罗斯 Russia,2,7.400000095367432
保加利亚,15,7.033333365122477
克罗地亚,8,7.149999976158142
冰岛,21,7.190476213182722
刚果,1,6.699999809265137
加拿大,224,6.54598213412932
加拿大 Canada,1,7.0
匈牙利,26,7.073076871725229
北马其顿,1,8.899999618530273
南非,22,7.240909099578857
卡塔尔,14,7.292857101985386
卢森堡,24,7.337499976158142
印度,130,7.182307683504545
印度 india,2,6.700000047683716
印度尼西亚,11,6.463636311617765
危地马拉,2,6.650000095367432
古巴,3,7.766666571299235
哈萨克斯坦,6,7.633333285649617
哥伦比亚,9,7.044444455040826
土耳其,11,7.7000000260093
埃及,5,7.659999942779541
埃塞俄比亚,2,6.5
塞内加尔,2,6.5
塞尔维亚,9,6.844444486829969
塞浦路斯,3,7.833333333333333
墨西哥,39,6.869230771676088
多米尼加,2,5.5
奥地利,32,7.028125032782555
奧地利,2,7.1499998569488525
委内瑞拉,4,7.174999952316284
委内瑞拉 Venezuela,1,6.800000190734863
尼泊尔,1,9.0
巴勒斯坦,3,7.666666666666667
巴基斯坦,1,7.5
巴拉圭,3,6.5
巴拿马,1,6.300000190734863
巴西,40,7.107499992847442
希腊,13,7.438461560469407
开曼群岛,1,6.0
德国,324,7.12561728336193
德国/加拿大,1,5.0
意大利,131,7.104580143935808
拉脱维亚,6,6.7833333015441895
挪威,39,6.897435885209304
捷克,29,7.210344824297675
捷克 Czech Republic,1,6.699999809265137
捷克/捷克斯洛伐克,2,7.0
捷克/捷克斯洛伐克/克罗地亚,1,6.599999904632568
捷克/波兰/捷克斯洛伐克/法国,1,6.800000190734863
捷克斯洛伐克/捷克,1,7.5
摩洛哥,3,6.733333269755046
斯洛伐克,7,7.314285755157471
斯洛文尼亚,6,7.233333269755046
斯里兰卡,1,7.400000095367432
新加坡,18,6.766666664017571
新西兰,18,6.944444417953491
日本,1256,7.193471348399569
智利,20,7.060000038146972
柬埔寨,2,7.400000095367432
格鲁吉亚,3,7.49999984105428
比利时,155,7.034193534235801
比利时/法国,1,6.800000190734863
毛里塔尼亚,1,7.0
沙特阿拉伯,1,8.300000190734863
法国,660,7.138484843571981
法国/比利时,2,6.650000095367432
波兰,41,7.200000030238454
波兰/德国/捷克/瑞典/捷克斯洛伐克,1,6.400000095367432
波兰/德国/法国,1,6.5
波多黎各,1,6.900000095367432
波黑,4,7.200000047683716
泰国,74,6.208108086843748
洪都拉斯,1,6.699999809265137
澳大利亚,76,6.769736854653609
爱尔兰,44,6.938636346296831
爱沙尼亚,8,7.337500095367432
瑞典,59,7.216949147693182
瑞士,43,7.009302294531534
瑞士 Switzerland,2,7.999999761581421
白俄罗斯,1,7.800000190734863
秘鲁,2,6.8500001430511475
突尼斯,3,7.266666412353516
立陶宛,5,6.5
约旦,2,7.900000095367432
缅甸,5,6.579999923706055
罗马尼亚,16,6.862500011920929
美国,2048,6.766552740475163
美国/澳大利亚,1,6.5
美国/英国/加拿大/澳大利亚,1,7.099999904632568
老挝,1,6.900000095367432
肯尼亚,1,8.100000381469727
芬兰,23,7.12608700213225
芬兰/法国,1,8.100000381469727
苏丹,1,7.199999809265137
英国,590,7.250000014143475
英国/加拿大/美国,1,6.900000095367432
英国/澳大利亚,1,7.0
英國 UK,1,7.800000190734863
荷兰,52,6.976923108100891
荷兰Netherlands,1,5.199999809265137
菲律宾,8,7.037499964237213
葡萄牙,18,7.022222254011366
蒙古,2,7.950000047683716
西班牙,151,6.9490066174639775
西班牙 SPain,1,7.099999904632568
越南,5,7.000000095367431
阿塞拜疆,1,7.599999904632568
阿尔及利亚,3,6.599999904632568
阿尔巴尼亚,1,7.099999904632568
阿根廷,35,6.922857121058873
阿根廷/德国/巴西/西班牙,1,4.800000190734863
阿联酋,11,7.145454623482444
韩国,477,6.643186593205674
马其顿,6,7.666666746139526
马拉维,1,8.199999809265137
马来西亚,15,6.320000012715657
马耳他,2,6.150000095367432
黎巴嫩,6,7.833333412806193
